_id,name,position,code
1,Республика Адыгея,82,01
2,Республика Башкортостан,81,02
3,Республика Бурятия,80,03
4,Республика Алтай,79,04
5,Республика Дагестан,78,05
6,Республика Ингушетия,77,06
7,Кабардино-Балкарская Республика,76,07
8,Республика Калмыкия,75,08
9,Республика Карачаево-Черкессия,74,09
10,Республика Карелия,73,10
11,Республика Коми,72,11
12,Республика Марий Эл,71,12
13,Республика Мордовия,70,13
14,Республика Саха (Якутия),69,14
15,Республика Северная Осетия-Алания,68,15
16,Республика Татарстан,67,16
17,Республика Тыва,66,17
18,Удмуртская Республика,65,18
19,Республика Хакасия,64,19
20,Чеченская республика,63,20
21,Чувашская Республика,62,21
22,Алтайский край,61,22
23,Краснодарский край,58,23
24,Красноярский край,57,24
25,Приморский край,55,25
26,Ставропольский край,54,26
27,Хабаровский край,53,27
28,Амурская область,52,28
29,Архангельская область,51,29
30,Астраханская область,50,30
31,Белгородская область,49,31
32,Брянская область,48,32
33,Владимирская область,47,33
34,Волгоградская область,46,34
35,Вологодская область,45,35
36,Воронежская область,44,36
37,Ивановская область,43,37
38,Иркутская область,42,38
39,Калининградская область,41,39
40,Калужская область,40,40
41,Камчатский край,59,41
43,Кемеровская область,39,42
44,Кировская область,38,43
45,Костромская область,37,44
46,Курганская область,36,45
47,Курская область,35,46
48,Ленинградская область,34,47
49,Липецкая область,33,48
50,Магаданская область,32,49
51,Московская область,31,50
52,Мурманская область,30,51
53,Нижегородская область,29,52
54,Новгородская область,28,53
55,Новосибирская область,27,54
56,Омская область,26,55
57,Оренбургская область,25,56
58,Орловская область,24,57
59,Пензенская область,23,58
60,Пермский край,56,59
62,Псковская область,22,60
63,Ростовская область,21,61
64,Рязанская область,20,62
65,Самарская область,19,63
66,Саратовская область,18,64
67,Сахалинская область,17,65
68,Свердловская область,16,66
69,Смоленская область,15,67
70,Тамбовская область,14,68
71,Тверская область,13,69
72,Томская область,12,70
73,Тульская область,11,71
74,Тюменская область,10,72
75,Ульяновская область,9,73
76,Челябинская область,8,74
77,Забайкальский край,60,75
79,Ярославская область,7,76
80,Москва,6,77
81,Санкт-Петербург,5,78
82,Еврейская автономная область,4,79
86,Ненецкий автономный округ,3,83
89,Ханты-Мансийский автономный округ - Югра,2,86
90,Чукотский автономный округ,1,87
92,Ямало-Ненецкий автономный округ,0,89
